subject	trial	stimfile	condition	code	response	distractor	initTime	rt	DV_inmot	DV_dist	DV_velmax	DV_velmax_start	DV_acc_flips	DV_ADavg	DV_AUC	DV_initang	DV_dist_maxveloc	DV_ang_tot	DV_angflp_lat	DV_angflp_mot
11	17	The aunt is assisted by her niece.wav	2	passive	1	1	40.000000	1821.000000	1781.000000	1.517193	75.840376	96.000000	19.000000	0.163323	0.713656	-4.079750	1.137991	13.000000	1.000000	12.000000
11	21	The nurse hugs the surgeon.wav	1	declarative	2	1	118.000000	1618.000000	1500.000000	1.790052	80.071131	91.000000	13.000000	0.303058	0.805663	7.777207	1.212279	7.000000	2.000000	5.000000
11	22	The dog was bitten by the snake.wav	2	passive	1	2	118.000000	2227.000000	2109.000000	1.740958	100.583946	93.000000	14.000000	0.335345	0.870440	6.585237	1.136257	8.000000	1.000000	6.000000
11	25	The kid tickles the mom.wav	1	declarative	1	2	71.000000	2571.000000	2500.000000	2.414162	119.211476	96.000000	16.000000	0.332326	0.921951	-4.869504	1.818105	12.000000	2.000000	10.000000
11	33	The princess slaps the prince.wav	1	declarative	2	1	86.000000	2055.000000	1969.000000	1.819704	128.599873	95.000000	7.000000	0.291628	0.836460	11.169502	1.137340	3.000000	1.000000	1.000000
11	35	The baby touches the hamster.wav	1	declarative	2	2	40.000000	3165.000000	3125.000000	1.762283	117.316583	96.000000	18.000000	0.215610	0.781793	9.731285	1.175700	6.000000	1.000000	5.000000
11	41	The daughter kisses the king.wav	1	declarative	1	2	56.000000	2071.000000	2015.000000	1.821725	77.138323	93.000000	13.000000	0.365939	0.934698	9.008504	1.308704	8.000000	2.000000	6.000000
11	42	The boxer is punched by the kangeroo.wav	2	passive	1	1	149.000000	2649.000000	2500.000000	1.667779	123.571094	96.000000	12.000000	0.315592	0.827523	5.429318	1.049923	8.000000	3.000000	4.000000
11	43	The cat attacks the fireman.wav	1	declarative	1	2	88.000000	2197.000000	2109.000000	1.606462	116.665397	94.000000	12.000000	0.325940	0.743707	5.236920	0.912005	12.000000	2.000000	10.000000
11	45	The tiger lifts the bear.wav	1	declarative	1	2	40.000000	2009.000000	1969.000000	1.716684	96.930625	90.000000	10.000000	0.351220	0.842648	11.754014	0.969035	9.000000	2.000000	6.000000
11	46	The fish eats the fisherman.wav	1	declarative	2	1	134.000000	1806.000000	1672.000000	1.986333	62.256457	13.000000	23.000000	0.347811	0.869745	0.287194	0.185659	8.000000	1.000000	6.000000
