subject	trial	stimfile	condition	code	response	distractor	initTime	rt	DV_inmot	DV_dist	DV_velmax	DV_velmax_start	DV_acc_flips	DV_ADavg	DV_AUC	DV_initang	DV_dist_maxveloc	DV_ang_tot	DV_angflp_lat	DV_angflp_mot
2254	13	The boy is pushed by his sister.wav	2	passive	1	2	46.000000	2128.000000	2082.000000	2.712576	171.035282	6.000000	12.000000	0.154836	1.237460	21.563019	0.419283	11.000000	3.000000	6.000000
2254	33	The chicken was scared by the crow.wav	2	passive	2	1	47.000000	2379.000000	2332.000000	2.034644	152.674745	5.000000	4.000000	0.393990	0.976982	3.854421	0.126100	9.000000	1.000000	7.000000
2254	12	The princess slaps the prince.wav	1	declarative	2	1	48.000000	1499.000000	1451.000000	2.032248	140.017614	10.000000	4.000000	0.364012	1.295715	2.237555	0.497348	4.000000	1.000000	3.000000
2254	49	The panda is colored by the monkey.wav	2	passive	2	1	89.000000	2798.000000	2709.000000	2.186024	184.606635	4.000000	10.000000	0.484345	1.124310	-4.500229	0.094182	10.000000	1.000000	7.000000
2254	58	The baby touches the hamster.wav	1	declarative	1	2	33.000000	2021.000000	1988.000000	2.576173	178.811616	13.000000	29.000000	0.181506	0.689088	-44.744113	0.583995	10.000000	2.000000	8.000000
2254	53	The elephant was washed by the worker.wav	2	passive	2	1	129.000000	1859.000000	1730.000000	2.236706	180.953026	96.000000	13.000000	0.507718	1.225315	-15.998301	1.331940	6.000000	1.000000	4.000000
2254	27	The bird watches the alligator.wav	1	declarative	1	2	31.000000	2039.000000	2008.000000	2.512308	244.935985	6.000000	19.000000	0.268647	1.128245	-1.067364	0.562009	11.000000	0.000000	9.000000
2254	38	The nurse hugs the surgeon.wav	1	declarative	2	1	31.000000	2744.000000	2713.000000	2.426312	222.568993	5.000000	12.000000	0.366029	0.802374	10.841880	0.250012	10.000000	1.000000	8.000000
2311	80	The turtle was carried by the sheep.wav	2	passive	1	2	145.000000	2700.000000	2555.000000	1.833712	103.008681	17.000000	17.000000	0.134417	0.855253	-4.488817	0.199710	12.000000	1.000000	10.000000
2311	38	The cloud hides the sun.wav	1	declarative	1	2	218.000000	16652.000000	16434.000000	1.466421	166.183428	1.000000	-1.000000	0.153536	0.698021	-7.819659	0.000000	2.000000	0.000000	2.000000
2311	49	The kid tickles the mom.wav	1	declarative	1	2	539.000000	3502.000000	2963.000000	1.740552	129.431872	96.000000	8.000000	0.259406	0.783912	-11.387538	1.093393	6.000000	0.000000	5.000000
2311	30	The chef was suprised by the mailman.wav	2	passive	1	2	244.000000	3531.000000	3287.000000	2.012549	127.496147	11.000000	9.000000	0.214294	0.952307	1.944019	0.434797	5.000000	0.000000	4.000000
2311	77	The puppy was licked by the kitten.wav	2	passive	1	2	98.000000	4420.000000	4322.000000	2.037055	176.353320	8.000000	11.000000	0.213820	0.887899	-3.561077	0.032899	8.000000	1.000000	6.000000
2311	37	The grandmother finds the grandson.wav	1	declarative	2	1	354.000000	3175.000000	2821.000000	1.720560	129.342006	14.000000	3.000000	0.208721	0.753687	25.581269	0.209229	2.000000	0.000000	1.000000
2311	23	The husband was fed by his wife.wav	2	passive	1	2	188.000000	4559.000000	4371.000000	2.070084	278.748522	4.000000	10.000000	0.242007	0.894587	-5.483302	0.000400	6.000000	0.000000	5.000000
2311	76	The princess slaps the prince.wav	1	declarative	2	1	279.000000	2119.000000	1840.000000	1.988672	102.162753	96.000000	17.000000	0.260043	1.076039	-17.500624	1.477859	11.000000	3.000000	8.000000
2311	52	The bird watches the alligator.wav	1	declarative	1	2	559.000000	3619.000000	3060.000000	1.987353	115.069293	96.000000	19.000000	0.279823	0.965898	-0.446742	1.412006	9.000000	1.000000	7.000000
2311	46	The panda is colored by the monkey.wav	2	passive	2	1	219.000000	3151.000000	2932.000000	1.974665	120.168117	17.000000	8.000000	0.360867	0.985037	-9.688197	0.137740	7.000000	1.000000	6.000000
